water_year,month,day,calendar_year,sme2_swe_mm,smf1_swe_mm,smg1_swe_mm,smg2_swe_mm,smm1_swe_mm,smm2_swe_mm
2008,04,30,2008, 140,   0,   0,   0, 178,   0
2010,12,10,2009,   3,   3,   5,   0,  18,   0
2010,02,10,2010, 249, 173, 157, 178, 229, 157
2010,03,16,2010, NaN, NaN, 147, NaN, NaN, NaN
2010,03,23,2010, 269, 130, 107, 127, 274, 127
2010,04,27,2010,   0,   0,   0,   0,  25,   0
2011,12,07,2010,  97,  56,  41,  61,  86,  51
2011,01,12,2011, 188, 127, 107, 122, 193,  81
2011,03,09,2011, 264, 168, 171, 140, 274, 127
2011,04,20,2011, 137,   0,   0,   0, 188,   0
2012,12,15,2011,   0,   0,   0,   0,  20,   0
2012,02,09,2012, 104,  71,  74,  58, 114,  71
2012,03,06,2012, NaN, NaN, NaN, NaN, 188, NaN
2012,03,29,2012,  51, NaN, NaN, NaN,  46, NaN
2013,12,13,2012,  13,  18,  15,  15,  15,  13
2013,01,31,2013, 168, 144,  97, NaN, 157,  98
2013,03,06,2013, 160, 109,  91,  81, 183,  61
