water_year,month,day,calendar_year,hour,sme2_rh,smf1_rh,smg1_rh,smg2_rh,smm1_rh,smm2_rh
2008,10,01,2007,00,0.45,0.49,0.48,0.48,0.52,0.50
2008,10,01,2007,01,0.53,0.54,0.53,0.54,0.55,0.56
2008,10,01,2007,02,0.57,0.54,0.53,0.55,0.55,0.57
2008,10,01,2007,03,0.57,0.55,0.53,0.55,0.55,0.57
2008,10,01,2007,04,0.61,0.57,0.56,0.58,0.58,0.60
2008,10,01,2007,05,0.78,0.72,0.70,0.73,0.73,0.76
2008,10,01,2007,06,0.98,0.95,0.94,0.97,0.94,0.98
2008,10,01,2007,07,0.99,0.97,0.95,0.98,0.95,0.99
2008,10,01,2007,08,0.99,0.97,0.94,0.98,0.96,0.99
2008,10,01,2007,09,0.99,0.97,0.93,0.98,0.96,1.00
2008,10,01,2007,10,0.99,0.97,0.94,0.99,0.95,1.00
2008,10,01,2007,11,0.99,0.97,0.94,0.99,0.95,1.00
2008,10,01,2007,12,0.99,0.96,0.93,0.97,0.93,0.98
2008,10,01,2007,13,0.97,0.94,0.90,0.95,0.91,0.97
2008,10,01,2007,14,0.94,0.91,0.86,0.91,0.88,0.94
2008,10,01,2007,15,0.90,0.86,0.83,0.87,0.84,0.90
2008,10,01,2007,16,0.86,0.81,0.77,0.80,0.78,0.84
2008,10,01,2007,17,0.62,0.65,0.58,0.60,0.60,0.64
2008,10,01,2007,18,0.62,0.68,0.60,0.60,0.64,0.62
2008,10,01,2007,19,0.63,0.90,0.77,0.65,0.85,0.67
2008,10,01,2007,20,0.62,0.96,0.93,0.65,0.93,0.65
2008,10,01,2007,21,0.62,0.98,0.97,0.67,0.97,0.63
2008,10,01,2007,22,0.62,0.99,0.97,0.70,0.99,0.64
2008,10,01,2007,23,0.65,0.99,0.98,0.74,0.99,0.65
2008,10,02,2007,00,0.66,0.99,0.98,0.71,0.99,0.66
2008,10,02,2007,01,0.70,0.99,0.98,0.73,0.99,0.67
2008,10,02,2007,02,0.75,0.99,0.98,0.77,0.99,0.71
2008,10,02,2007,03,0.77,1.00,0.93,0.84,0.99,0.69
2008,10,02,2007,04,0.69,0.99,0.95,0.80,0.99,0.68
2008,10,02,2007,05,0.71,0.99,0.97,0.75,0.99,0.73
2008,10,02,2007,06,0.70,0.99,0.97,0.76,0.99,0.70
2008,10,02,2007,07,0.67,0.99,0.90,0.67,0.99,0.68
2008,10,02,2007,08,0.63,0.95,0.78,0.63,0.94,0.64
2008,10,02,2007,09,0.55,0.62,0.56,0.55,0.60,0.55
2008,10,02,2007,10,0.52,0.47,0.48,0.49,0.47,0.50
2008,10,02,2007,11,0.52,0.46,0.46,0.50,0.47,0.50
2008,10,02,2007,12,0.48,0.42,0.42,0.45,0.42,0.46
2008,10,02,2007,13,0.42,0.37,0.36,0.39,0.37,0.40
2008,10,02,2007,14,0.37,0.32,0.31,0.34,0.33,0.35
2008,10,02,2007,15,0.34,0.30,0.29,0.31,0.31,0.32
2008,10,02,2007,16,0.35,0.33,0.31,0.33,0.32,0.34
2008,10,02,2007,17,0.40,0.41,0.36,0.37,0.37,0.38
2008,10,02,2007,18,0.44,0.45,0.41,0.41,0.43,0.42
2008,10,02,2007,19,0.47,0.65,0.60,0.46,0.66,0.46
2008,10,02,2007,20,0.48,0.57,0.48,0.46,0.60,0.46
2008,10,02,2007,21,0.49,0.53,0.47,0.46,0.57,0.47
2008,10,02,2007,22,0.50,0.59,0.54,0.48,0.56,0.49
2008,10,02,2007,23,0.53,0.72,0.66,0.51,0.67,0.51
