water_year,month,day,calendar_year,hour,sme2_rh,smf1_rh,smg1_rh,smg2_rh,smm1_rh,smm2_rh
2008,10,03,2007,00,0.54,0.64,0.59,0.52,0.71,0.52
2008,10,03,2007,01,0.56,0.69,0.59,0.55,0.68,0.55
2008,10,03,2007,02,0.58,0.71,0.58,0.56,0.72,0.56
2008,10,03,2007,03,0.59,0.69,0.59,0.56,0.71,0.57
2008,10,03,2007,04,0.61,0.71,0.63,0.58,0.70,0.59
2008,10,03,2007,05,0.55,0.62,0.58,0.54,0.56,0.53
2008,10,03,2007,06,0.47,0.46,0.46,0.45,0.46,0.46
2008,10,03,2007,07,0.47,0.44,0.43,0.43,0.45,0.45
2008,10,03,2007,08,0.48,0.45,0.44,0.45,0.45,0.47
2008,10,03,2007,09,0.49,0.45,0.45,0.46,0.45,0.48
2008,10,03,2007,10,0.62,0.56,0.57,0.59,0.58,0.62
2008,10,03,2007,11,0.69,0.63,0.63,0.67,0.64,0.70
2008,10,03,2007,12,0.60,0.52,0.54,0.58,0.54,0.59
2008,10,03,2007,13,0.60,0.56,0.56,0.59,0.55,0.60
2008,10,03,2007,14,0.60,0.54,0.55,0.58,0.55,0.59
2008,10,03,2007,15,0.56,0.50,0.51,0.54,0.51,0.56
2008,10,03,2007,16,0.52,0.49,0.47,0.51,0.47,0.52
2008,10,03,2007,17,0.55,0.55,0.51,0.53,0.51,0.55
2008,10,03,2007,18,0.64,0.64,0.61,0.62,0.67,0.64
2008,10,03,2007,19,0.68,0.75,0.71,0.67,0.82,0.70
2008,10,03,2007,20,0.60,0.72,0.70,0.61,0.79,0.64
2008,10,03,2007,21,0.55,0.68,0.66,0.55,0.68,0.56
2008,10,03,2007,22,0.55,0.77,0.81,0.56,0.78,0.54
2008,10,03,2007,23,0.59,0.80,0.85,0.60,0.83,0.58
2008,10,04,2007,00,0.58,0.83,0.86,0.63,0.87,0.58
2008,10,04,2007,01,0.62,0.85,0.86,0.63,0.89,0.60
2008,10,04,2007,02,0.69,0.87,0.88,0.68,0.89,0.66
2008,10,04,2007,03,0.70,0.89,0.91,0.73,0.91,0.67
2008,10,04,2007,04,0.72,0.92,0.93,0.78,0.95,0.71
2008,10,04,2007,05,0.74,0.94,0.87,0.79,0.96,0.72
2008,10,04,2007,06,0.72,0.92,0.84,0.75,0.95,0.68
2008,10,04,2007,07,0.72,0.85,0.76,0.73,0.91,0.72
2008,10,04,2007,08,0.66,0.74,0.66,0.64,0.75,0.65
2008,10,04,2007,09,0.54,0.55,0.51,0.55,0.52,0.55
2008,10,04,2007,10,0.54,0.47,0.48,0.51,0.47,0.51
2008,10,04,2007,11,0.66,0.62,0.61,0.64,0.62,0.66
2008,10,04,2007,12,0.69,0.65,0.64,0.67,0.63,0.68
2008,10,04,2007,13,0.64,0.57,0.57,0.60,0.57,0.62
2008,10,04,2007,14,0.60,0.55,0.54,0.57,0.55,0.59
2008,10,04,2007,15,0.60,0.55,0.54,0.57,0.56,0.59
2008,10,04,2007,16,0.66,0.61,0.60,0.63,0.61,0.65
2008,10,04,2007,17,0.56,0.56,0.54,0.56,0.56,0.58
2008,10,04,2007,18,0.58,0.63,0.64,0.57,0.64,0.55
2008,10,04,2007,19,0.55,0.73,0.73,0.63,0.75,0.54
2008,10,04,2007,20,0.56,0.59,0.56,0.55,0.61,0.53
2008,10,04,2007,21,0.60,0.59,0.61,0.59,0.58,0.59
2008,10,04,2007,22,0.62,0.67,0.61,0.61,0.69,0.61
2008,10,04,2007,23,0.62,0.75,0.71,0.63,0.79,0.63
2008,10,05,2007,00,0.69,0.84,0.82,0.72,0.86,0.69
2008,10,05,2007,01,0.76,0.87,0.80,0.79,0.90,0.73
2008,10,05,2007,02,0.72,0.90,0.90,0.77,0.93,0.74
2008,10,05,2007,03,0.86,0.93,0.94,0.90,0.96,0.90
2008,10,05,2007,04,0.89,0.95,0.96,0.91,0.98,0.91
2008,10,05,2007,05,0.88,0.94,0.95,0.91,0.97,0.90
2008,10,05,2007,06,0.96,0.95,0.95,0.96,0.97,0.97
2008,10,05,2007,07,0.96,0.95,0.95,0.97,0.96,0.98
2008,10,05,2007,08,0.96,0.95,0.94,0.99,0.92,0.97
2008,10,05,2007,09,0.81,0.80,0.79,0.83,0.79,0.84
2008,10,05,2007,10,0.75,0.73,0.70,0.76,0.74,0.78
2008,10,05,2007,11,0.78,0.72,0.70,0.76,0.73,0.78
2008,10,05,2007,12,0.78,0.72,0.71,0.75,0.71,0.76
2008,10,05,2007,13,0.72,0.67,0.66,0.70,0.66,0.71
2008,10,05,2007,14,0.63,0.59,0.57,0.61,0.58,0.63
2008,10,05,2007,15,0.57,0.53,0.52,0.55,0.53,0.57
2008,10,05,2007,16,0.52,0.49,0.47,0.50,0.48,0.52
2008,10,05,2007,17,0.53,0.52,0.50,0.52,0.50,0.53
2008,10,05,2007,18,0.60,0.58,0.56,0.58,0.58,0.60
2008,10,05,2007,19,0.65,0.63,0.60,0.63,0.63,0.65
2008,10,05,2007,20,0.75,0.71,0.68,0.72,0.71,0.74
2008,10,05,2007,21,0.79,0.75,0.73,0.76,0.76,0.78
2008,10,05,2007,22,0.82,0.77,0.74,0.79,0.77,0.81
2008,10,05,2007,23,0.82,0.78,0.75,0.79,0.77,0.81
2008,10,06,2007,00,0.81,0.79,0.78,0.79,0.76,0.80
2008,10,06,2007,01,0.81,0.79,0.80,0.79,0.78,0.80
2008,10,06,2007,02,0.81,0.86,0.85,0.84,0.77,0.81
2008,10,06,2007,03,0.82,0.86,0.89,0.82,0.78,0.82
2008,10,06,2007,04,0.82,0.89,0.90,0.85,0.78,0.82
2008,10,06,2007,05,0.83,0.87,0.92,0.84,0.81,0.83
2008,10,06,2007,06,0.86,0.88,0.94,0.85,0.82,0.85
2008,10,06,2007,07,0.88,0.92,0.93,0.93,0.89,0.89
2008,10,06,2007,08,0.85,0.91,0.86,0.88,0.82,0.86
2008,10,06,2007,09,0.81,0.81,0.79,0.83,0.79,0.86
2008,10,06,2007,10,0.83,0.76,0.75,0.82,0.77,0.84
2008,10,06,2007,11,0.76,0.68,0.68,0.74,0.68,0.76
2008,10,06,2007,12,0.62,0.56,0.55,0.62,0.57,0.63
2008,10,06,2007,13,0.52,0.47,0.47,0.51,0.47,0.52
2008,10,06,2007,14,0.45,0.38,0.38,0.42,0.41,0.45
2008,10,06,2007,15,0.38,0.33,0.33,0.36,0.35,0.38
2008,10,06,2007,16,0.36,0.33,0.32,0.34,0.33,0.36
2008,10,06,2007,17,0.34,0.33,0.32,0.33,0.32,0.34
2008,10,06,2007,18,0.41,0.41,0.39,0.39,0.42,0.41
2008,10,06,2007,19,0.48,0.58,0.58,0.47,0.61,0.47
2008,10,06,2007,20,0.50,0.71,0.73,0.49,0.74,0.48
2008,10,06,2007,21,0.51,0.74,0.75,0.50,0.75,0.50
2008,10,06,2007,22,0.53,0.73,0.73,0.52,0.71,0.52
2008,10,06,2007,23,0.56,0.80,0.82,0.54,0.79,0.55
2008,10,07,2007,00,0.61,0.83,0.85,0.59,0.84,0.59
2008,10,07,2007,01,0.60,0.83,0.86,0.62,0.84,0.59
2008,10,07,2007,02,0.64,0.85,0.88,0.62,0.87,0.62
2008,10,07,2007,03,0.71,0.86,0.88,0.65,0.88,0.68
2008,10,07,2007,04,0.76,0.90,0.91,0.69,0.89,0.72
2008,10,07,2007,05,0.73,0.87,0.82,0.69,0.81,0.70
2008,10,07,2007,06,0.81,0.86,0.85,0.70,0.84,0.76
2008,10,07,2007,07,0.81,0.85,0.85,0.71,0.84,0.74
2008,10,07,2007,08,0.80,0.80,0.80,0.74,0.78,0.80
2008,10,07,2007,09,0.79,0.73,0.69,0.73,0.70,0.77
2008,10,07,2007,10,0.71,0.63,0.62,0.68,0.63,0.70
2008,10,07,2007,11,0.66,0.57,0.57,0.64,0.58,0.66
2008,10,07,2007,12,0.62,0.53,0.54,0.58,0.54,0.61
2008,10,07,2007,13,0.56,0.49,0.49,0.53,0.50,0.55
2008,10,07,2007,14,0.52,0.44,0.44,0.49,0.47,0.51
2008,10,07,2007,15,0.47,0.40,0.40,0.44,0.44,0.47
2008,10,07,2007,16,0.46,0.44,0.40,0.44,0.41,0.46
2008,10,07,2007,17,0.48,0.50,0.43,0.45,0.43,0.47
2008,10,07,2007,18,0.50,0.61,0.55,0.45,0.60,0.48
2008,10,07,2007,19,0.49,0.72,0.71,0.48,0.74,0.46
2008,10,07,2007,20,0.46,0.77,0.77,0.50,0.82,0.44
2008,10,07,2007,21,0.44,0.79,0.79,0.50,0.84,0.44
2008,10,07,2007,22,0.48,0.81,0.79,0.50,0.86,0.47
2008,10,07,2007,23,0.49,0.82,0.79,0.52,0.87,0.48
2008,10,08,2007,00,0.52,0.84,0.73,0.55,0.89,0.50
2008,10,08,2007,01,0.50,0.85,0.72,0.54,0.89,0.49
2008,10,08,2007,02,0.52,0.86,0.76,0.54,0.89,0.50
2008,10,08,2007,03,0.52,0.86,0.72,0.55,0.90,0.49
2008,10,08,2007,04,0.52,0.86,0.68,0.54,0.90,0.48
2008,10,08,2007,05,0.51,0.86,0.60,0.55,0.90,0.46
2008,10,08,2007,06,0.50,0.78,0.55,0.51,0.87,0.48
2008,10,08,2007,07,0.50,0.71,0.53,0.49,0.84,0.47
2008,10,08,2007,08,0.45,0.61,0.45,0.40,0.66,0.42
2008,10,08,2007,09,0.38,0.40,0.35,0.37,0.37,0.37
2008,10,08,2007,10,0.34,0.31,0.31,0.33,0.32,0.34
2008,10,08,2007,11,0.31,0.28,0.28,0.31,0.29,0.30
2008,10,08,2007,12,0.25,0.23,0.24,0.25,0.24,0.25
2008,10,08,2007,13,0.23,0.21,0.21,0.23,0.21,0.23
2008,10,08,2007,14,0.21,0.19,0.19,0.20,0.21,0.21
2008,10,08,2007,15,0.18,0.17,0.17,0.18,0.18,0.18
2008,10,08,2007,16,0.18,0.18,0.16,0.17,0.17,0.18
2008,10,08,2007,17,0.17,0.19,0.16,0.16,0.17,0.17
2008,10,08,2007,18,0.19,0.31,0.27,0.19,0.27,0.19
2008,10,08,2007,19,0.23,0.42,0.40,0.22,0.41,0.22
2008,10,08,2007,20,0.28,0.45,0.34,0.29,0.41,0.27
2008,10,08,2007,21,0.34,0.48,0.35,0.36,0.38,0.32
2008,10,08,2007,22,0.31,0.53,0.34,0.33,0.46,0.29
2008,10,08,2007,23,0.28,0.54,0.33,0.31,0.54,0.27
2008,10,09,2007,00,0.28,0.48,0.29,0.28,0.50,0.27
2008,10,09,2007,01,0.30,0.36,0.26,0.27,0.31,0.28
2008,10,09,2007,02,0.30,0.32,0.29,0.29,0.42,0.29
2008,10,09,2007,03,0.31,0.31,0.29,0.29,0.37,0.30
2008,10,09,2007,04,0.30,0.31,0.29,0.30,0.34,0.30
2008,10,09,2007,05,0.31,0.31,0.31,0.31,0.35,0.31
2008,10,09,2007,06,0.31,0.33,0.31,0.31,0.34,0.31
2008,10,09,2007,07,0.31,0.31,0.30,0.30,0.30,0.30
2008,10,09,2007,08,0.28,0.28,0.29,0.28,0.28,0.28
2008,10,09,2007,09,0.25,0.24,0.23,0.24,0.24,0.25
2008,10,09,2007,10,0.22,0.20,0.20,0.21,0.21,0.22
2008,10,09,2007,11,0.19,0.17,0.17,0.18,0.18,0.19
2008,10,09,2007,12,0.17,0.15,0.15,0.16,0.16,0.16
2008,10,09,2007,13,0.13,0.13,0.13,0.13,0.13,0.13
2008,10,09,2007,14,0.13,0.12,0.12,0.12,0.13,0.12
2008,10,09,2007,15,0.12,0.11,0.11,0.12,0.12,0.12
2008,10,09,2007,16,0.12,0.11,0.11,0.11,0.11,0.11
2008,10,09,2007,17,0.13,0.13,0.12,0.12,0.13,0.12
2008,10,09,2007,18,0.14,0.23,0.20,0.14,0.21,0.14
2008,10,09,2007,19,0.14,0.33,0.31,0.14,0.32,0.15
2008,10,09,2007,20,0.16,0.38,0.39,0.17,0.38,0.16
2008,10,09,2007,21,0.17,0.40,0.34,0.20,0.41,0.16
2008,10,09,2007,22,0.19,0.40,0.24,0.22,0.41,0.18
2008,10,09,2007,23,0.21,0.22,0.20,0.21,0.23,0.20
2008,10,10,2007,00,0.20,0.20,0.20,0.20,0.20,0.20
2008,10,10,2007,01,0.20,0.19,0.20,0.19,0.20,0.21
2008,10,10,2007,02,0.20,0.19,0.19,0.19,0.20,0.20
2008,10,10,2007,03,0.20,0.25,0.23,0.19,0.26,0.20
2008,10,10,2007,04,0.22,0.35,0.32,0.22,0.38,0.22
2008,10,10,2007,05,0.26,0.40,0.42,0.25,0.40,0.25
2008,10,10,2007,06,0.29,0.42,0.42,0.28,0.41,0.28
2008,10,10,2007,07,0.29,0.47,0.42,0.29,0.46,0.29
2008,10,10,2007,08,0.29,0.32,0.28,0.28,0.33,0.30
2008,10,10,2007,09,0.33,0.31,0.31,0.32,0.32,0.33
2008,10,10,2007,10,0.40,0.35,0.36,0.38,0.37,0.40
2008,10,10,2007,11,0.50,0.44,0.44,0.47,0.46,0.49
2008,10,10,2007,12,0.78,0.74,0.74,0.77,0.72,0.77
2008,10,10,2007,13,0.90,0.89,0.85,0.86,0.87,0.87
2008,10,10,2007,14,0.92,0.88,0.85,0.90,0.88,0.91
2008,10,10,2007,15,0.79,0.71,0.70,0.73,0.75,0.78
2008,10,10,2007,16,0.68,0.64,0.60,0.64,0.65,0.68
2008,10,10,2007,17,0.66,0.64,0.58,0.62,0.62,0.65
2008,10,10,2007,18,0.71,0.78,0.75,0.71,0.79,0.72
2008,10,10,2007,19,0.67,0.88,0.87,0.71,0.92,0.72
2008,10,10,2007,20,0.70,0.92,0.93,0.75,0.94,0.71
2008,10,10,2007,21,0.70,0.94,0.88,0.78,0.98,0.67
2008,10,10,2007,22,0.72,0.96,0.94,0.76,0.99,0.71
2008,10,10,2007,23,0.68,0.97,0.96,0.72,0.99,0.70
2008,10,11,2007,00,0.68,0.97,0.96,0.67,0.99,0.66
2008,10,11,2007,01,0.72,0.97,0.95,0.76,0.98,0.68
2008,10,11,2007,02,0.69,0.97,0.96,0.80,0.99,0.65
2008,10,11,2007,03,0.69,0.98,0.96,0.77,0.99,0.65
2008,10,11,2007,04,0.72,0.98,0.90,0.77,0.99,0.67
2008,10,11,2007,05,0.74,0.97,0.85,0.76,0.98,0.69
2008,10,11,2007,06,0.82,0.96,0.79,0.80,0.97,0.77
2008,10,11,2007,07,0.81,0.91,0.74,0.79,0.91,0.74
2008,10,11,2007,08,0.70,0.80,0.65,0.64,0.91,0.66
2008,10,11,2007,09,0.63,0.62,0.58,0.60,0.62,0.63
2008,10,11,2007,10,0.55,0.52,0.51,0.54,0.52,0.55
2008,10,11,2007,11,0.48,0.44,0.44,0.47,0.44,0.48
2008,10,11,2007,12,0.40,0.36,0.35,0.38,0.37,0.39
2008,10,11,2007,13,0.32,0.30,0.29,0.31,0.31,0.32
2008,10,11,2007,14,0.28,0.26,0.26,0.27,0.27,0.27
2008,10,11,2007,15,0.27,0.24,0.24,0.25,0.26,0.26
2008,10,11,2007,16,0.31,0.28,0.28,0.29,0.27,0.29
2008,10,11,2007,17,0.45,0.41,0.40,0.42,0.41,0.43
2008,10,11,2007,18,0.53,0.48,0.47,0.50,0.49,0.50
2008,10,11,2007,19,0.56,0.49,0.48,0.52,0.50,0.52
2008,10,11,2007,20,0.50,0.44,0.42,0.46,0.45,0.46
2008,10,11,2007,21,0.48,0.45,0.45,0.46,0.46,0.48
2008,10,11,2007,22,0.52,0.49,0.49,0.51,0.49,0.52
2008,10,11,2007,23,0.53,0.49,0.48,0.50,0.49,0.51
2008,10,12,2007,00,0.52,0.48,0.46,0.49,0.48,0.50
2008,10,12,2007,01,0.50,0.50,0.46,0.48,0.50,0.46
2008,10,12,2007,02,0.48,0.46,0.45,0.46,0.49,0.44
2008,10,12,2007,03,0.42,0.54,0.52,0.43,0.55,0.43
2008,10,12,2007,04,0.54,0.68,0.64,0.58,0.69,0.57
2008,10,12,2007,05,0.52,0.72,0.72,0.58,0.75,0.56
2008,10,12,2007,06,0.53,0.62,0.62,0.55,0.59,0.51
2008,10,12,2007,07,0.50,0.47,0.47,0.48,0.46,0.46
2008,10,12,2007,08,0.57,0.53,0.54,0.57,0.52,0.55
2008,10,12,2007,09,0.69,0.62,0.61,0.65,0.62,0.65
2008,10,12,2007,10,0.66,0.60,0.62,0.63,0.59,0.63
2008,10,12,2007,11,0.69,0.68,0.68,0.70,0.66,0.68
2008,10,12,2007,12,0.76,0.69,0.67,0.72,0.68,0.73
2008,10,12,2007,13,0.72,0.66,0.64,0.69,0.67,0.71
2008,10,12,2007,14,0.86,0.74,0.70,0.78,0.78,0.81
2008,10,12,2007,15,0.88,0.79,0.76,0.82,0.83,0.86
2008,10,12,2007,16,0.87,0.77,0.74,0.80,0.82,0.83
2008,10,12,2007,17,0.90,0.83,0.81,0.84,0.87,0.85
2008,10,12,2007,18,0.91,0.89,0.89,0.88,0.89,0.86
2008,10,12,2007,19,0.89,0.89,0.86,0.89,0.93,0.83
2008,10,12,2007,20,0.84,0.90,0.87,0.82,0.95,0.81
2008,10,12,2007,21,0.83,0.91,0.92,0.85,0.95,0.84
2008,10,12,2007,22,0.86,0.92,0.94,0.82,0.95,0.82
2008,10,12,2007,23,0.80,0.92,0.94,0.76,0.96,0.79
2008,10,13,2007,00,0.77,0.94,0.93,0.78,0.97,0.79
2008,10,13,2007,01,0.78,0.94,0.91,0.75,0.99,0.77
2008,10,13,2007,02,0.81,0.87,0.80,0.78,0.96,0.80
2008,10,13,2007,03,0.82,0.92,0.84,0.81,0.93,0.83
2008,10,13,2007,04,0.76,0.92,0.91,0.78,0.91,0.80
2008,10,13,2007,05,0.73,0.95,0.95,0.78,0.94,0.79
2008,10,13,2007,06,0.78,0.98,0.97,0.81,0.96,0.83
2008,10,13,2007,07,0.78,0.98,0.97,0.81,0.98,0.79
2008,10,13,2007,08,0.81,0.98,0.87,0.80,0.93,0.81
2008,10,13,2007,09,0.79,0.83,0.74,0.78,0.75,0.81
2008,10,13,2007,10,0.69,0.65,0.66,0.69,0.63,0.70
2008,10,13,2007,11,0.61,0.53,0.55,0.57,0.55,0.60
2008,10,13,2007,12,0.61,0.51,0.51,0.56,0.54,0.58
2008,10,13,2007,13,0.53,0.47,0.45,0.50,0.48,0.52
2008,10,13,2007,14,0.49,0.42,0.42,0.46,0.45,0.48
2008,10,13,2007,15,0.47,0.41,0.40,0.45,0.43,0.46
2008,10,13,2007,16,0.46,0.43,0.40,0.44,0.42,0.45
2008,10,13,2007,17,0.48,0.48,0.44,0.46,0.46,0.47
2008,10,13,2007,18,0.54,0.61,0.57,0.52,0.64,0.53
2008,10,13,2007,19,0.59,0.76,0.73,0.58,0.79,0.56
2008,10,13,2007,20,0.61,0.81,0.75,0.60,0.85,0.57
2008,10,13,2007,21,0.61,0.84,0.83,0.61,0.90,0.59
2008,10,13,2007,22,0.60,0.87,0.88,0.64,0.94,0.60
2008,10,13,2007,23,0.58,0.90,0.89,0.63,0.96,0.57
2008,10,14,2007,00,0.56,0.91,0.91,0.64,0.97,0.58
2008,10,14,2007,01,0.60,0.92,0.93,0.64,0.97,0.61
2008,10,14,2007,02,0.64,0.94,0.94,0.67,0.99,0.61
2008,10,14,2007,03,0.62,0.95,0.94,0.66,0.99,0.60
2008,10,14,2007,04,0.63,0.96,0.95,0.64,0.99,0.61
2008,10,14,2007,05,0.67,0.97,0.96,0.69,0.99,0.62
2008,10,14,2007,06,0.67,0.98,0.93,0.72,1.00,0.62
2008,10,14,2007,07,0.67,0.98,0.95,0.68,1.00,0.62
2008,10,14,2007,08,0.59,0.98,0.88,0.57,0.97,0.56
2008,10,14,2007,09,0.51,0.78,0.52,0.49,0.70,0.51
2008,10,14,2007,10,0.50,0.47,0.44,0.47,0.46,0.49
2008,10,14,2007,11,0.44,0.39,0.40,0.43,0.41,0.43
2008,10,14,2007,12,0.41,0.35,0.36,0.38,0.36,0.39
2008,10,14,2007,13,0.37,0.34,0.33,0.36,0.34,0.36
2008,10,14,2007,14,0.32,0.29,0.28,0.31,0.31,0.31
2008,10,14,2007,15,0.28,0.26,0.25,0.27,0.28,0.27
2008,10,14,2007,16,0.29,0.29,0.26,0.28,0.28,0.29
2008,10,14,2007,17,0.31,0.36,0.29,0.29,0.32,0.30
2008,10,14,2007,18,0.35,0.50,0.43,0.34,0.48,0.35
2008,10,14,2007,19,0.43,0.59,0.45,0.43,0.62,0.39
2008,10,14,2007,20,0.43,0.63,0.46,0.47,0.68,0.40
2008,10,14,2007,21,0.49,0.62,0.46,0.47,0.57,0.47
2008,10,14,2007,22,0.54,0.66,0.50,0.50,0.56,0.52
2008,10,14,2007,23,0.57,0.64,0.51,0.54,0.55,0.55
2008,10,15,2007,00,0.57,0.66,0.52,0.56,0.58,0.53
2008,10,15,2007,01,0.51,0.72,0.56,0.52,0.73,0.51
2008,10,15,2007,02,0.48,0.71,0.57,0.49,0.81,0.48
2008,10,15,2007,03,0.47,0.60,0.50,0.48,0.80,0.45
2008,10,15,2007,04,0.47,0.57,0.49,0.46,0.77,0.45
2008,10,15,2007,05,0.46,0.62,0.47,0.47,0.76,0.45
2008,10,15,2007,06,0.47,0.69,0.49,0.47,0.79,0.43
2008,10,15,2007,07,0.47,0.70,0.50,0.46,0.81,0.43
2008,10,15,2007,08,0.44,0.51,0.43,0.40,0.65,0.41
2008,10,15,2007,09,0.39,0.39,0.35,0.37,0.39,0.39
2008,10,15,2007,10,0.36,0.33,0.33,0.35,0.34,0.35
2008,10,15,2007,11,0.33,0.31,0.31,0.32,0.31,0.33
2008,10,15,2007,12,0.31,0.28,0.28,0.30,0.29,0.30
2008,10,15,2007,13,0.27,0.25,0.24,0.26,0.26,0.27
2008,10,15,2007,14,0.27,0.24,0.23,0.25,0.26,0.26
2008,10,15,2007,15,0.27,0.25,0.24,0.26,0.26,0.27
2008,10,15,2007,16,0.29,0.28,0.27,0.28,0.28,0.29
2008,10,15,2007,17,0.32,0.31,0.30,0.31,0.31,0.32
2008,10,15,2007,18,0.37,0.46,0.44,0.35,0.48,0.36
2008,10,15,2007,19,0.38,0.53,0.52,0.37,0.54,0.37
2008,10,15,2007,20,0.39,0.54,0.53,0.38,0.56,0.38
2008,10,15,2007,21,0.39,0.56,0.52,0.39,0.57,0.39
2008,10,15,2007,22,0.47,0.57,0.56,0.46,0.59,0.46
2008,10,15,2007,23,0.66,0.62,0.61,0.62,0.64,0.64
2008,10,16,2007,00,0.70,0.74,0.73,0.68,0.78,0.69
2008,10,16,2007,01,0.66,0.76,0.69,0.65,0.79,0.67
2008,10,16,2007,02,0.65,0.72,0.63,0.63,0.75,0.66
2008,10,16,2007,03,0.68,0.78,0.71,0.67,0.82,0.69
2008,10,16,2007,04,0.72,0.84,0.77,0.71,0.87,0.73
2008,10,16,2007,05,0.74,0.84,0.79,0.72,0.87,0.74
2008,10,16,2007,06,0.75,0.86,0.84,0.74,0.90,0.76
2008,10,16,2007,07,0.75,0.82,0.75,0.73,0.86,0.75
2008,10,16,2007,08,0.77,0.76,0.72,0.73,0.79,0.76
2008,10,16,2007,09,0.70,0.68,0.64,0.67,0.65,0.70
2008,10,16,2007,10,0.63,0.57,0.56,0.59,0.58,0.62
2008,10,16,2007,11,0.57,0.51,0.50,0.54,0.52,0.56
2008,10,16,2007,12,0.49,0.44,0.43,0.45,0.46,0.48
2008,10,16,2007,13,0.44,0.39,0.37,0.40,0.40,0.43
2008,10,16,2007,14,0.39,0.35,0.35,0.37,0.36,0.39
2008,10,16,2007,15,0.40,0.36,0.35,0.37,0.37,0.40
2008,10,16,2007,16,0.50,0.45,0.44,0.46,0.46,0.49
2008,10,16,2007,17,0.58,0.53,0.52,0.55,0.54,0.57
2008,10,16,2007,18,0.64,0.58,0.57,0.59,0.59,0.62
2008,10,16,2007,19,0.67,0.67,0.65,0.63,0.71,0.65
2008,10,16,2007,20,0.68,0.78,0.77,0.68,0.83,0.67
2008,10,16,2007,21,0.91,0.92,0.89,0.92,0.89,0.92
2008,10,16,2007,22,0.96,0.96,0.95,0.96,0.97,0.95
2008,10,16,2007,23,0.99,0.98,0.97,1.00,0.99,1.00
2008,10,17,2007,00,1.00,0.99,0.98,1.00,0.99,1.00
